Project Name,Draw Request #,ILTR #,Date of Invoice,Date Received by Project Manager,Date Received by Owning Department,Date Approved by Owning Department,Date Sent to Accounting,Date Approved by Accounting,Date Sent to City OCD Fiscal Unit,Date Sent to State Consultant,Date Sent to State OCD,Date Sent to State Finance,Date Payment Made to City,Date Payment Hit City's Bank,Date Vendor Paid,Vendor Contract - Sub-Recipient Contract - Project - Owning Department,Vendor,Invoice Status,Record ID#
Code Enforcement Staffing,00-048,ILTR-00040,09-17-2012,09-17-2012,09-17-2012,10-29-2012,10-30-2012,10-31-2012,11-01-2012,11-01-2012,11-01-2012,11-02-2012,11-21-2012,11-23-2012,11-23-2012,OCD,Life Insurance (LICPY),12 Paid,5183
Code Enforcement Staffing,00-048,ILTR-00040,09-17-2012,09-17-2012,09-17-2012,10-29-2012,10-30-2012,10-31-2012,11-01-2012,11-01-2012,11-01-2012,11-02-2012,11-21-2012,11-23-2012,11-23-2012,OCD,Unemployment Insurance (UCCPY),12 Paid,5184
Code Enforcement Staffing,00-048,ILTR-00040,09-17-2012,09-17-2012,09-17-2012,10-29-2012,10-30-2012,10-31-2012,11-01-2012,11-01-2012,11-01-2012,11-02-2012,11-21-2012,11-23-2012,11-23-2012,OCD,Workmen's Compensation (WCCPY),12 Paid,5185
Interim Nuisance Abatement/CNAP,00-076,ILTR-00054,09-17-2012,09-17-2012,09-17-2012,10-29-2012,10-30-2012,10-31-2012,11-01-2012,11-01-2012,11-01-2012,11-02-2012,11-21-2012,11-23-2012,11-23-2012,OCD,Environmental Specialist III,12 Paid,5186
Interim Nuisance Abatement/CNAP,00-076,ILTR-00054,09-17-2012,09-17-2012,09-17-2012,10-29-2012,10-30-2012,10-31-2012,11-01-2012,11-01-2012,11-01-2012,11-02-2012,11-21-2012,11-23-2012,11-23-2012,OCD,Environmental Specialist I (#1)-A,12 Paid,5187
Interim Nuisance Abatement/CNAP,00-076,ILTR-00054,09-17-2012,09-17-2012,09-17-2012,10-29-2012,10-30-2012,10-31-2012,11-01-2012,11-01-2012,11-01-2012,11-02-2012,11-21-2012,11-23-2012,11-23-2012,OCD,Office Assistant II,12 Paid,5188
Interim Nuisance Abatement/CNAP,00-076,ILTR-00054,09-17-2012,09-17-2012,09-17-2012,10-29-2012,10-30-2012,10-31-2012,11-01-2012,11-01-2012,11-01-2012,11-02-2012,11-21-2012,11-23-2012,11-23-2012,OCD,ES III - Benefits,12 Paid,5189
Interim Nuisance Abatement/CNAP,00-076,ILTR-00054,09-17-2012,09-17-2012,09-17-2012,10-29-2012,10-30-2012,10-31-2012,11-01-2012,11-01-2012,11-01-2012,11-02-2012,11-21-2012,11-23-2012,11-23-2012,OCD,ES I - #1 A - Benefits,12 Paid,5190
Interim Nuisance Abatement/CNAP,00-076,ILTR-00054,09-17-2012,09-17-2012,09-17-2012,10-29-2012,10-30-2012,10-31-2012,11-01-2012,11-01-2012,11-01-2012,11-02-2012,11-21-2012,11-23-2012,11-23-2012,OCD,OA II - Benefits,12 Paid,5191
Interim Nuisance Abatement/CNAP,00-076,ILTR-00054,09-17-2012,09-17-2012,09-17-2012,10-29-2012,10-30-2012,10-31-2012,11-01-2012,11-01-2012,11-01-2012,11-02-2012,11-21-2012,11-23-2012,11-23-2012,OCD,"Supplies, Equip & Furniture",12 Paid,5192
Interim Nuisance Abatement/CNAP,00-076,ILTR-00054,09-17-2012,09-17-2012,09-17-2012,10-29-2012,10-30-2012,10-31-2012,11-01-2012,11-01-2012,11-01-2012,11-02-2012,11-21-2012,11-23-2012,11-23-2012,OCD,"Supplies, Equip & Furniture",12 Paid,5193
Interim Nuisance Abatement/CNAP,00-076,ILTR-00054,09-17-2012,09-17-2012,09-17-2012,10-29-2012,10-30-2012,10-31-2012,11-01-2012,11-01-2012,11-01-2012,11-02-2012,11-21-2012,11-23-2012,11-23-2012,OCD,"Supplies, Equip & Furniture",12 Paid,5194
Interim Nuisance Abatement/CNAP,00-076,ILTR-00054,09-17-2012,09-17-2012,09-17-2012,10-29-2012,10-30-2012,10-31-2012,11-01-2012,11-01-2012,11-01-2012,11-02-2012,11-21-2012,11-23-2012,11-23-2012,OCD,"Supplies, Equip & Furniture",12 Paid,5195
Program Administrative Costs,00-072,ILTR-00046,08-20-2012,08-20-2012,08-20-2012,10-30-2012,10-31-2012,11-08-2012,11-12-2012,11-12-2012,11-12-2012,11-13-2012,11-30-2012,12-03-2012,12-03-2012,OCD,"29.30% (AACPY, JDCPY, JFCPY)",12 Paid,5196
Program Administrative Costs,00-072,ILTR-00046,08-20-2012,08-20-2012,08-20-2012,10-30-2012,10-31-2012,11-08-2012,11-12-2012,11-12-2012,11-12-2012,11-13-2012,11-30-2012,12-03-2012,12-03-2012,OCD,Hospitalization (BCCPY),12 Paid,5197
Program Administrative Costs,00-072,ILTR-00046,08-20-2012,08-20-2012,08-20-2012,10-30-2012,10-31-2012,11-08-2012,11-12-2012,11-12-2012,11-12-2012,11-13-2012,11-30-2012,12-03-2012,12-03-2012,OCD,Life Insurance (LICPY),12 Paid,5198
Program Administrative Costs,00-072,ILTR-00046,08-20-2012,08-20-2012,08-20-2012,10-30-2012,10-31-2012,11-08-2012,11-12-2012,11-12-2012,11-12-2012,11-13-2012,11-30-2012,12-03-2012,12-03-2012,OCD,Unemployment Insurance (UCCPY),12 Paid,5199
Program Administrative Costs,00-072,ILTR-00046,08-20-2012,08-20-2012,08-20-2012,10-30-2012,10-31-2012,11-08-2012,11-12-2012,11-12-2012,11-12-2012,11-13-2012,11-30-2012,12-03-2012,12-03-2012,OCD,Workmen's Compensation (WCCPY),12 Paid,5200
Program Administrative Costs,00-072,ILTR-00046,08-20-2012,08-20-2012,08-20-2012,10-30-2012,10-31-2012,11-08-2012,11-12-2012,11-12-2012,11-12-2012,11-13-2012,11-30-2012,12-03-2012,12-03-2012,OCD,Policy Analyst-B,12 Paid,5201
Program Administrative Costs,00-072,ILTR-00046,08-20-2012,08-20-2012,08-20-2012,10-30-2012,10-31-2012,11-08-2012,11-12-2012,11-12-2012,11-12-2012,11-13-2012,11-30-2012,12-03-2012,12-03-2012,OCD,Attorney III (#1),12 Paid,5202
Program Administrative Costs,00-072,ILTR-00046,08-20-2012,08-20-2012,08-20-2012,10-30-2012,10-31-2012,11-08-2012,11-12-2012,11-12-2012,11-12-2012,11-13-2012,11-30-2012,12-03-2012,12-03-2012,OCD,Recovery Finance Deputy Director,12 Paid,5203
Program Administrative Costs,00-072,ILTR-00046,08-20-2012,08-20-2012,08-20-2012,10-30-2012,10-31-2012,11-08-2012,11-12-2012,11-12-2012,11-12-2012,11-13-2012,11-30-2012,12-03-2012,12-03-2012,OCD,Placed Based Planner,12 Paid,5204
Program Administrative Costs,00-072,ILTR-00046,08-20-2012,08-20-2012,08-20-2012,10-30-2012,10-31-2012,11-08-2012,11-12-2012,11-12-2012,11-12-2012,11-13-2012,11-30-2012,12-03-2012,12-03-2012,OCD,Program Assistant/UPS III - B,12 Paid,5205
Program Administrative Costs,00-072,ILTR-00046,08-20-2012,08-20-2012,08-20-2012,10-30-2012,10-31-2012,11-08-2012,11-12-2012,11-12-2012,11-12-2012,11-13-2012,11-30-2012,12-03-2012,12-03-2012,OCD,Administrative Assistant,12 Paid,5206
Program Administrative Costs,00-072,ILTR-00046,08-20-2012,08-20-2012,08-20-2012,10-30-2012,10-31-2012,11-08-2012,11-12-2012,11-12-2012,11-12-2012,11-13-2012,11-30-2012,12-03-2012,12-03-2012,OCD,Accountant I (#3),12 Paid,5207
Program Administrative Costs,00-072,ILTR-00046,08-20-2012,08-20-2012,08-20-2012,10-30-2012,10-31-2012,11-08-2012,11-12-2012,11-12-2012,11-12-2012,11-13-2012,11-30-2012,12-03-2012,12-03-2012,OCD,Accountant I (#1),12 Paid,5208
Program Administrative Costs,00-072,ILTR-00046,08-20-2012,08-20-2012,08-20-2012,10-30-2012,10-31-2012,11-08-2012,11-12-2012,11-12-2012,11-12-2012,11-13-2012,11-30-2012,12-03-2012,12-03-2012,OCD,Auditor I,12 Paid,5209
Program Administrative Costs,00-072,ILTR-00046,08-20-2012,08-20-2012,08-20-2012,10-30-2012,10-31-2012,11-08-2012,11-12-2012,11-12-2012,11-12-2012,11-13-2012,11-30-2012,12-03-2012,12-03-2012,OCD,Attorney III (#2-A),12 Paid,5210
Program Administrative Costs,00-072,ILTR-00046,08-20-2012,08-20-2012,08-20-2012,10-30-2012,10-31-2012,11-08-2012,11-12-2012,11-12-2012,11-12-2012,11-13-2012,11-30-2012,12-03-2012,12-03-2012,OCD,Chief of Staff - A,12 Paid,5211
Program Administrative Costs,00-072,ILTR-00046,08-20-2012,08-20-2012,08-20-2012,10-30-2012,10-31-2012,11-08-2012,11-12-2012,11-12-2012,11-12-2012,11-13-2012,11-30-2012,12-03-2012,12-03-2012,OCD,Accountant I (#2),12 Paid,5212
Program Administrative Costs,00-072,ILTR-00046,08-20-2012,08-20-2012,08-20-2012,10-30-2012,10-31-2012,11-08-2012,11-12-2012,11-12-2012,11-12-2012,11-13-2012,11-30-2012,12-03-2012,12-03-2012,OCD,Accountant II,12 Paid,5213
Program Administrative Costs,00-072,ILTR-00046,08-20-2012,08-20-2012,08-20-2012,10-30-2012,10-31-2012,11-08-2012,11-12-2012,11-12-2012,11-12-2012,11-13-2012,11-30-2012,12-03-2012,12-03-2012,OCD,Blackberries/Communication (admin),12 Paid,5214
Program Administrative Costs,00-072,ILTR-00046,08-20-2012,08-20-2012,08-20-2012,10-30-2012,10-31-2012,11-08-2012,11-12-2012,11-12-2012,11-12-2012,11-13-2012,11-30-2012,12-03-2012,12-03-2012,OCD,Miscellaneous,12 Paid,5215
Program Administrative Costs,00-072,ILTR-00046,08-20-2012,08-20-2012,08-20-2012,10-30-2012,10-31-2012,11-08-2012,11-12-2012,11-12-2012,11-12-2012,11-13-2012,11-30-2012,12-03-2012,12-03-2012,OCD,Miscellaneous,12 Paid,5216
Program Administrative Costs,00-072,ILTR-00046,08-20-2012,08-20-2012,08-20-2012,10-30-2012,10-31-2012,11-08-2012,11-12-2012,11-12-2012,11-12-2012,11-13-2012,11-30-2012,12-03-2012,12-03-2012,OCD,Miscellaneous,12 Paid,5217
Program Administrative Costs,00-072,ILTR-00046,08-20-2012,08-20-2012,08-20-2012,10-30-2012,10-31-2012,11-08-2012,11-12-2012,11-12-2012,11-12-2012,11-13-2012,11-30-2012,12-03-2012,12-03-2012,OCD,Miscellaneous,12 Paid,5218
Program Administrative Costs,00-072,ILTR-00046,08-20-2012,08-20-2012,08-20-2012,10-30-2012,10-31-2012,11-08-2012,11-12-2012,11-12-2012,11-12-2012,11-13-2012,11-30-2012,12-03-2012,12-03-2012,OCD,Computers & Software (admin),12 Paid,5219
Methodist Hospital Acquisition,00-071,ILTR-00167,08-01-2012,10-22-2012,10-22-2012,10-30-2012,10-31-2012,11-05-2012,11-05-2012,11-06-2012,11-06-2012,11-09-2012,11-21-2012,11-23-2012,11-23-2012,OCD,Operating Costs,12 Paid,5220
Program Management & Monitoring,00-051,ILTR-00238,08-20-2012,08-20-2012,08-20-2012,10-30-2012,10-31-2012,11-08-2012,11-12-2012,11-12-2012,11-12-2012,11-13-2012,11-30-2012,12-03-2012,12-03-2012,OCD,"29.30% (AACPY, JDCPY, JFCPY)",12 Paid,5221
Program Management & Monitoring,00-051,ILTR-00238,08-20-2012,08-20-2012,08-20-2012,10-30-2012,10-31-2012,11-08-2012,11-12-2012,11-12-2012,11-12-2012,11-13-2012,11-30-2012,12-03-2012,12-03-2012,OCD,Hospitalization (BCCPY),12 Paid,5222
Program Management & Monitoring,00-051,ILTR-00238,08-20-2012,08-20-2012,08-20-2012,10-30-2012,10-31-2012,11-08-2012,11-12-2012,11-12-2012,11-12-2012,11-13-2012,11-30-2012,12-03-2012,12-03-2012,OCD,Life Insurance (LICPY),12 Paid,5223
Program Management & Monitoring,00-051,ILTR-00238,08-20-2012,08-20-2012,08-20-2012,10-30-2012,10-31-2012,11-08-2012,11-12-2012,11-12-2012,11-12-2012,11-13-2012,11-30-2012,12-03-2012,12-03-2012,OCD,Workmen's Compensation (WCCPY),12 Paid,5224
Program Management & Monitoring,00-051,ILTR-00238,08-20-2012,08-20-2012,08-20-2012,10-30-2012,10-31-2012,11-08-2012,11-12-2012,11-12-2012,11-12-2012,11-13-2012,11-30-2012,12-03-2012,12-03-2012,OCD,Unemployment Insurance (UCCPY),12 Paid,5225
Program Management & Monitoring,00-051,ILTR-00238,08-20-2012,08-20-2012,08-20-2012,10-30-2012,10-31-2012,11-08-2012,11-12-2012,11-12-2012,11-12-2012,11-13-2012,11-30-2012,12-03-2012,12-03-2012,OCD,Project Assistant #1,12 Paid,5226
Program Management & Monitoring,00-051,ILTR-00238,08-20-2012,08-20-2012,08-20-2012,10-30-2012,10-31-2012,11-08-2012,11-12-2012,11-12-2012,11-12-2012,11-13-2012,11-30-2012,12-03-2012,12-03-2012,OCD,Project Assistant #3-A,12 Paid,5227
Program Management & Monitoring,00-051,ILTR-00238,08-20-2012,08-20-2012,08-20-2012,10-30-2012,10-31-2012,11-08-2012,11-12-2012,11-12-2012,11-12-2012,11-13-2012,11-30-2012,12-03-2012,12-03-2012,OCD,Project Manager #8,12 Paid,5228
Program Management & Monitoring,00-051,ILTR-00238,08-20-2012,08-20-2012,08-20-2012,10-30-2012,10-31-2012,11-08-2012,11-12-2012,11-12-2012,11-12-2012,11-13-2012,11-30-2012,12-03-2012,12-03-2012,OCD,Project Manager #4,12 Paid,5229
Program Management & Monitoring,00-051,ILTR-00238,08-20-2012,08-20-2012,08-20-2012,10-30-2012,10-31-2012,11-08-2012,11-12-2012,11-12-2012,11-12-2012,11-13-2012,11-30-2012,12-03-2012,12-03-2012,OCD,Construction Project Manager II (DPW),12 Paid,5230
Program Management & Monitoring,00-051,ILTR-00238,08-20-2012,08-20-2012,08-20-2012,10-30-2012,10-31-2012,11-08-2012,11-12-2012,11-12-2012,11-12-2012,11-13-2012,11-30-2012,12-03-2012,12-03-2012,OCD,Project Assistant #2-B,12 Paid,5231
Program Management & Monitoring,00-051,ILTR-00238,08-20-2012,08-20-2012,08-20-2012,10-30-2012,10-31-2012,11-08-2012,11-12-2012,11-12-2012,11-12-2012,11-13-2012,11-30-2012,12-03-2012,12-03-2012,OCD,Project Manager #6,12 Paid,5232
Program Management & Monitoring,00-051,ILTR-00238,08-20-2012,08-20-2012,08-20-2012,10-30-2012,10-31-2012,11-08-2012,11-12-2012,11-12-2012,11-12-2012,11-13-2012,11-30-2012,12-03-2012,12-03-2012,OCD,Administrative Assistant #1-B,12 Paid,5233
Program Management & Monitoring,00-051,ILTR-00238,08-20-2012,08-20-2012,08-20-2012,10-30-2012,10-31-2012,11-08-2012,11-12-2012,11-12-2012,11-12-2012,11-13-2012,11-30-2012,12-03-2012,12-03-2012,OCD,Project Manager #3,12 Paid,5234
Program Management & Monitoring,00-051,ILTR-00238,08-20-2012,08-20-2012,08-20-2012,10-30-2012,10-31-2012,11-08-2012,11-12-2012,11-12-2012,11-12-2012,11-13-2012,11-30-2012,12-03-2012,12-03-2012,OCD,Project Manager #5,12 Paid,5235
Program Management & Monitoring,00-051,ILTR-00238,08-20-2012,08-20-2012,08-20-2012,10-30-2012,10-31-2012,11-08-2012,11-12-2012,11-12-2012,11-12-2012,11-13-2012,11-30-2012,12-03-2012,12-03-2012,OCD,Project Manager #2-A,12 Paid,5236
Program Management & Monitoring,00-051,ILTR-00238,08-20-2012,08-20-2012,08-20-2012,10-30-2012,10-31-2012,11-08-2012,11-12-2012,11-12-2012,11-12-2012,11-13-2012,11-30-2012,12-03-2012,12-03-2012,OCD,Blackberries/Communications (public service),12 Paid,5237
Program Management & Monitoring,00-051,ILTR-00238,08-20-2012,08-20-2012,08-20-2012,10-30-2012,10-31-2012,11-08-2012,11-12-2012,11-12-2012,11-12-2012,11-13-2012,11-30-2012,12-03-2012,12-03-2012,OCD,Blackberries/Communications (public service),12 Paid,5238
Norman Mayer Library,00-033,ILTR-00132,06-30-2012,06-28-2012,06-28-2012,10-07-2012,10-29-2012,10-31-2012,11-01-2012,11-01-2012,11-01-2012,11-02-2012,11-21-2012,11-23-2012,11-27-2012,CPA,Gibbs Construction,12 Paid,5239
New Orleans East Regional Library,00-039,ILTR-00133,06-30-2012,06-30-2012,06-28-2012,10-07-2012,10-29-2012,10-31-2012,11-01-2012,11-01-2012,11-01-2012,11-02-2012,11-21-2012,11-23-2012,11-27-2012,CPA,Gibbs Construction,12 Paid,5240
Robert E. Smith Library,00-035,ILTR-00164,06-30-2012,06-30-2012,06-30-2012,10-07-2012,10-29-2012,10-31-2012,11-01-2012,11-01-2012,11-01-2012,11-02-2012,11-21-2012,11-23-2012,11-27-2012,CPA,Gibbs Construction,12 Paid,5242
VAMC Land Acquisition & Relocation - Relocation,00-563,ILTR-00122,10-11-2012,10-11-2012,10-11-2012,10-31-2012,11-01-2012,11-13-2012,11-14-2012,11-14-2012,11-14-2012,11-20-2012,12-06-2012,12-07-2012,12-13-2012,OCD,2433 Banks St (Optical Tech Corporation),12 Paid,5243
S. Claiborne Streetscapes,00-011,ILTR-00024,10-16-2012,10-31-2012,10-31-2012,10-31-2012,11-16-2012,11-20-2012,11-20-2012,11-20-2012,11-20-2012,11-20-2012,12-11-2012,12-12-2012,12-17-2012,DPW,"Beta Testing & Inspection, LLC.",12 Paid,5244
Street Light Repairs,00-029,ILTR-00260,10-29-2012,,10-29-2012,10-29-2012,11-13-2012,11-15-2012,11-16-2012,11-16-2012,11-16-2012,11-19-2012,12-28-2012,12-31-2012,01-08-2013,DPW,Allstar Electric Incorporated,12 Paid,5245
Carrollton Intersection Improvements,00-010,ILTR-00104,08-08-2012,10-22-2012,10-22-2012,10-22-2012,11-16-2012,11-20-2012,11-20-2012,11-20-2012,11-20-2012,11-20-2012,12-11-2012,12-12-2012,12-17-2012,DPW,"Urban Systems, Inc.",12 Paid,5248
Michoud Front Door,00-003,ILTR-00202,07-28-2012,,10-10-2012,10-22-2012,11-08-2012,11-13-2012,11-14-2012,11-14-2012,11-14-2012,11-20-2012,12-14-2012,12-17-2012,12-26-2012,DPW,Stuart Consulting Group INC.,12 Paid,5250
New Orleans East Streetscape Improvements,00-015,ILTR-00047,11-01-2012,11-02-2012,11-02-2012,11-02-2012,01-03-2013,01-04-2013,01-07-2013,01-07-2013,01-07-2013,01-08-2013,01-24-2013,01-25-2013,01-29-2013,DPW,Phoenix Global Eng. & Construction Inc.,12 Paid,5251
New Orleans East Streetscape Improvements,00-017,ILTR-00047,10-26-2012,10-31-2012,10-31-2012,10-31-2012,01-03-2013,01-04-2013,01-07-2013,01-07-2013,01-07-2013,01-08-2013,01-24-2013,01-25-2013,01-30-2013,DPW,Phoenix Global Eng. & Construction Inc.,12 Paid,5252
Street Light Repairs,00-030,ILTR-00260,09-13-2012,10-30-2012,10-30-2012,10-30-2012,11-13-2012,11-15-2012,11-16-2012,11-16-2012,11-16-2012,11-19-2012,12-10-2012,12-11-2012,12-14-2012,DPW,"Royal Engineers & Consultants, LLC",12 Paid,5253
Street Light Repairs,00-031,ILTR-00260,10-01-2012,10-30-2012,10-30-2012,10-30-2012,11-13-2012,11-15-2012,11-16-2012,11-16-2012,11-16-2012,11-19-2012,12-10-2012,12-11-2012,12-14-2012,DPW,"Royal Engineers & Consultants, LLC",12 Paid,5254
Street Light Repairs,00-032,ILTR-00260,11-01-2012,11-01-2012,11-01-2012,11-01-2012,11-14-2012,11-16-2012,11-20-2012,11-20-2012,11-20-2012,11-20-2012,12-10-2012,12-11-2012,12-14-2012,DPW,"Royal Engineers & Consultants, LLC",12 Paid,5255
S. Claiborne Streetscapes,00-012,ILTR-00024,09-30-2012,11-05-2012,11-05-2012,11-05-2012,11-16-2012,11-20-2012,11-20-2012,11-20-2012,11-20-2012,11-20-2012,12-11-2012,12-12-2012,12-17-2012,DPW,"All South Consulting Engineers, L.L.C.",12 Paid,5257
Lafitte Greenway,00-012,ILTR-00003,07-05-2012,10-22-2012,10-22-2012,11-06-2012,11-16-2012,11-20-2012,11-20-2012,11-20-2012,11-20-2012,11-20-2012,12-11-2012,12-12-2012,12-17-2012,DPW,"Design Workshop, Inc.",12 Paid,5258
Carrollton Avenue Streetscape,00-007,ILTR-00019,08-14-2012,11-05-2012,11-05-2012,11-05-2012,11-16-2012,11-20-2012,11-20-2012,11-20-2012,11-20-2012,11-20-2012,12-11-2012,12-12-2012,12-17-2012,DPW,"Urban Systems, Inc.",12 Paid,5260
Methodist Hospital Acquisition,00-072,ILTR-00167,06-11-2012,10-31-2012,10-31-2012,11-02-2012,11-07-2012,11-08-2012,11-13-2012,11-13-2012,11-13-2012,11-19-2012,12-03-2012,12-04-2012,12-06-2012,OCD,Urgent Care Facility Budget,12 Paid,5261
Methodist Hospital Acquisition,00-072,ILTR-00167,06-11-2012,10-31-2012,10-31-2012,11-02-2012,11-07-2012,11-08-2012,11-13-2012,11-13-2012,11-13-2012,11-19-2012,12-03-2012,12-04-2012,12-06-2012,OCD,Urgent Care Facility Budget,12 Paid,5262
Methodist Hospital Acquisition,00-072,ILTR-00167,06-11-2012,10-31-2012,10-31-2012,11-02-2012,11-07-2012,11-08-2012,11-13-2012,11-13-2012,11-13-2012,11-19-2012,12-03-2012,12-04-2012,12-06-2012,OCD,Urgent Care Facility Budget,12 Paid,5263
Methodist Hospital Acquisition,00-073,ILTR-00167,07-16-2012,10-31-2012,10-31-2012,11-02-2012,11-07-2012,11-08-2012,11-12-2012,11-13-2012,11-13-2012,11-19-2012,12-03-2012,12-04-2012,12-06-2012,OCD,Urgent Care Facility Budget,12 Paid,5264
Methodist Hospital Acquisition,00-073,ILTR-00167,07-16-2012,10-31-2012,10-31-2012,11-02-2012,11-07-2012,11-08-2012,11-12-2012,11-13-2012,11-13-2012,11-19-2012,12-03-2012,12-04-2012,12-06-2012,OCD,Urgent Care Facility Budget,12 Paid,5265
Methodist Hospital Acquisition,00-073,ILTR-00167,07-16-2012,10-31-2012,10-31-2012,11-02-2012,11-07-2012,11-08-2012,11-12-2012,11-13-2012,11-13-2012,11-19-2012,12-03-2012,12-04-2012,12-06-2012,OCD,Urgent Care Facility Budget,12 Paid,5266
Methodist Hospital Acquisition,00-074,ILTR-00167,07-31-2012,10-31-2012,10-31-2012,11-02-2012,11-07-2012,11-08-2012,11-12-2012,11-13-2012,11-13-2012,11-19-2012,12-03-2012,12-04-2012,12-06-2012,OCD,Health Care Legal Counsel,12 Paid,5267
Methodist Hospital Acquisition,00-075,ILTR-00167,08-31-2012,10-31-2012,10-31-2012,11-05-2012,11-07-2012,11-08-2012,11-12-2012,11-13-2012,11-13-2012,11-19-2012,12-03-2012,12-04-2012,12-06-2012,OCD,Health Care Legal Counsel,12 Paid,5268
Strategic Demolition,00-087,ILTR-00174,10-29-2012,10-30-2012,10-30-2012,11-07-2012,11-08-2012,11-08-2012,11-13-2012,11-13-2012,11-13-2012,11-13-2012,11-30-2012,12-03-2012,12-03-2012,OCD,"ATCO Services, LLC (Temporary Staffing)",12 Paid,5269
City Planning Commission Staffing,00-038,ILTR-00048,10-15-2012,10-15-2012,10-15-2012,11-06-2012,11-07-2012,11-08-2012,11-13-2012,11-13-2012,11-13-2012,11-13-2012,11-30-2012,12-03-2012,12-03-2012,OCD,Development Specialist #3,12 Paid,5270
City Planning Commission Staffing,00-038,ILTR-00048,10-15-2012,10-15-2012,10-15-2012,11-06-2012,11-07-2012,11-08-2012,11-13-2012,11-13-2012,11-13-2012,11-13-2012,11-30-2012,12-03-2012,12-03-2012,OCD,"29.30% (AACPY, JDCPY, JFCPY)",12 Paid,5271
City Planning Commission Staffing,00-038,ILTR-00048,10-15-2012,10-15-2012,10-15-2012,11-06-2012,11-07-2012,11-08-2012,11-13-2012,11-13-2012,11-13-2012,11-13-2012,11-30-2012,12-03-2012,12-03-2012,OCD,Hospitalization (BCCPY),12 Paid,5272
City Planning Commission Staffing,00-038,ILTR-00048,10-15-2012,10-15-2012,10-15-2012,11-06-2012,11-07-2012,11-08-2012,11-13-2012,11-13-2012,11-13-2012,11-13-2012,11-30-2012,12-03-2012,12-03-2012,OCD,Workmen's Compensation (WCCPY),12 Paid,5273
City Planning Commission Staffing,00-038,ILTR-00048,10-15-2012,10-15-2012,10-15-2012,11-06-2012,11-07-2012,11-08-2012,11-13-2012,11-13-2012,11-13-2012,11-13-2012,11-30-2012,12-03-2012,12-03-2012,OCD,Life Insurance (LICPY),12 Paid,5274
City Planning Commission Staffing,00-038,ILTR-00048,10-15-2012,10-15-2012,10-15-2012,11-06-2012,11-07-2012,11-08-2012,11-13-2012,11-13-2012,11-13-2012,11-13-2012,11-30-2012,12-03-2012,12-03-2012,OCD,Unemployment Insurance (UCCPY),12 Paid,5275
Strategic Demolition,00-088,ILTR-00174,11-05-2012,11-06-2012,11-06-2012,11-08-2012,11-08-2012,11-08-2012,11-13-2012,11-13-2012,11-13-2012,11-13-2012,11-30-2012,12-03-2012,12-03-2012,OCD,"ATCO Services, LLC (Temporary Staffing)",12 Paid,5276
Broadmoor Streetscape,00-005,ILTR-00018,09-30-2012,10-31-2012,10-31-2012,10-31-2012,12-03-2012,12-04-2012,12-05-2012,12-05-2012,12-05-2012,12-06-2012,01-07-2013,01-08-2013,01-23-2013,DPW,Southern Earth Sciences Inc.,12 Paid,5277
Carrollton Avenue Streetscape,00-008,ILTR-00019,09-06-2012,11-08-2012,10-18-2012,10-18-2012,11-16-2012,11-20-2012,11-20-2012,11-20-2012,11-20-2012,11-20-2012,12-11-2012,12-12-2012,12-17-2012,DPW,"Urban Systems, Inc.",12 Paid,5278
Carrollton Intersection Improvements,00-011,ILTR-00104,09-06-2012,11-08-2012,10-19-2012,10-22-2012,11-16-2012,11-20-2012,11-20-2012,11-20-2012,11-20-2012,11-20-2012,12-11-2012,12-12-2012,12-17-2012,DPW,"Urban Systems, Inc.",12 Paid,5279
Reinventing the Crescent: Downriver Park,00-068,ILTR-00039,10-21-2012,10-29-2012,10-29-2012,11-09-2012,11-16-2012,11-19-2012,11-20-2012,11-20-2012,11-20-2012,11-20-2012,12-11-2012,12-12-2012,12-20-2012,DPW,The Tobler Company,12 Paid,5280
VAMC Land Acquisition & Relocation - Acquisition,00-562,ILTR-00122,04-30-2012,10-11-2012,10-11-2012,11-09-2012,11-09-2012,11-13-2012,11-14-2012,11-14-2012,11-14-2012,11-20-2012,12-28-2012,12-31-2012,01-08-2013,OCD,Roedel Parsons Koch Blache Balhoff & McCollister,12 Paid,5281
VAMC Land Acquisition & Relocation - Acquisition,00-562,ILTR-00122,05-31-2012,10-11-2012,10-11-2012,11-09-2012,11-09-2012,11-13-2012,11-14-2012,11-14-2012,11-14-2012,11-20-2012,12-28-2012,12-31-2012,01-08-2013,OCD,Roedel Parsons Koch Blache Balhoff & McCollister,12 Paid,5282
